#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
  79 CMOVNBE                        0               13
  84 CMOVNS                         0                3
  85 CMOVNZ                         0               53
  88 CMOVS                          0               15
  89 CMOVZ                          0              121
  90 CMP                   3774536178                0
  93 CMPSB                          0              159
  99 CMPXCHG                       27                0
 104 CPUID                         15                0
 119 CVTSI2SD                      11                0
 127 CVTTSD2SI                      1                0
 130 CWDE                    13450378                0
 133 DEC                          124                0
 134 DIV                          287                0
 137 DIVSD                         11                0
 141 EMMS                           9                0
 250 IDIV                           1                0
 251 IMUL                  1137950264                0
 253 INC                         5159                0
 272 JB                       6057771                0
 273 JBE                    167616989                0
 274 JL                           114                0
 275 JLE                     21248396                0
 276 JMP                    373939556                0
 278 JNB                       486166                0
 279 JNBE                   444476913                0
 280 JNL                           18                0
 281 JNLE                   195606247                0
 284 JNS                           58                0
 285 JNZ                   3694327057                0
 289 JS                      49655270                0
 290 JZ                    2940150190                0
 296 LEA                    931349599                0
 297 LEAVE                        222                0
 299 LFENCE                        20                0
 332 MOV                   9633310588                0
 333 MOVAPD                        11                0
 334 MOVAPS                         3                0
 336 MOVD                          66                0
 339 MOVDQA                       158                0
 340 MOVDQU                        14                0
 357 MOVQ                          63                0
 361 MOVSD_XMM                     27                0
 367 MOVSX                 1614779381                0
 368 MOVSXD                       279                0
 371 MOVZX                 1346420966                0
 375 MUL                           60                0
 382 NEG                          152                0
 383 NOP                     84414590                0
 392 NOT                           23                0
 393 OR                     342937727                0
 425 PCMPEQB                      164                0
 490 PMOVMSKB                     164                0
 511 POP                    162247739                0
 518 POR                            6                0
 528 PSHUFD                        48                0
 537 PSLLQ                         15                0
 543 PSRLQ                         15                0
 559 PUNPCKLBW                     96                0
 563 PUSH                   162247993                0
 569 PXOR                          78                0
 580 RDTSC                         29                0
 583 RET_NEAR               252907796                0
 584 ROL                           84                0
 585 ROR                           41                0
 596 SAR                    733321419                0
 598 SBB                           68                0
 599 SCASB                          0              178
 610 SETNLE                  76541523                0
 614 SETNZ                         37                0
 618 SETZ                         549                0
 628 SHL                      3394630                0
 631 SHR                   1225164130                0
 652 STOSD                          0               15
 653 STOSQ                          0              304
 656 SUB                   1059260151                0
 662 SYSCALL                       69                0
 669 TEST                  2612467924                0
 672 UCOMISD                        6                0
1127 XCHG                          10                0
1131 XOR                   1163704603                0
3000 *total               40036499694           485715
3001 *mem-atomic                    4                0
3002 *stack-read            918530116                0
3003 *stack-write           695296430                0
3004 *iprel-read                 1673                0
3005 *iprel-write                 412                0
3007 *mem-read-1           1118106043                0
3008 *mem-read-2           2197825332                0
3010 *mem-read-4            597444376                0
3014 *mem-read-8           3131860499                0
3022 *mem-read-16                  97                0
3519 *mem-write-1            11143434                0
3520 *mem-write-2           173200076                0
3522 *mem-write-4           561590887                0
3526 *mem-write-8          1362857005                0
3534 *mem-write-16                 11                0
# $eof
